신호ID,종목코드,종목명,전략,운용,시각,가격,결과,상세,후속결정,신호근거,등락률%,VWAP이격%,범위위치,체결강도,거래량배수,스프레드틱,5분후,15분후,30분후,60분후,60분최고,60분최저
009540#1283-S20260730134600,009540,HD한국조선해양,VWAP눌림,FullAuto,2026-07-30 13:46:00,367500,진입,,,"VWAP 365,042 재돌파, 직전봉 고가 367,000 돌파",8.25,0.67,0.791,351.7,0.89,1,,,,,,
009540#1283-S20260730140500,009540,HD한국조선해양,VWAP눌림,FullAuto,2026-07-30 14:05:00,367500,진입,,,"VWAP 365,207 재돌파, 직전봉 고가 367,000 돌파",8.25,0.63,0.791,350.6,0.81,1,,,,,,
475150#1286-S20260731090627,475150,SK이터닉스,ORB,FullAuto,2026-07-31 09:06:27,48050,진입,,,"ORB5 고가 47,950 돌파 (범위 7.4%)",14.95,3.68,1,220.3,1.56,1,,,,,,
036930#1285-S20260731091227,036930,주성엔지니어링,ORB,FullAuto,2026-07-31 09:12:27,121600,진입,,,"ORB5 고가 121,400 돌파 (범위 6.1%)",23.70,3.41,0.951,169.8,1.86,1,,,,,,
475150#1286-S20260731091322,475150,SK이터닉스,ORB,FullAuto,2026-07-31 09:13:22,48000,진입,,,"ORB5 고가 47,950 돌파 (범위 7.4%)",14.83,3.64,0.933,204.1,4.89,1,,,,,,
475150#1286-S20260731092105,475150,SK이터닉스,ORB,FullAuto,2026-07-31 09:21:05,48000,진입,,,"ORB5 고가 47,950 돌파 (범위 7.4%)",14.83,1.89,0.748,167.1,0.31,1,,,,,,
002990#1289-S20260731093927,002990,금호건설,ORB,FullAuto,2026-07-31 09:39:27,10430,진입,,,"ORB5 고가 10,390 돌파 (범위 8.2%)",9.91,5.48,0.869,139.6,1.91,1,,,,,,
002990#1289-S20260731094627,002990,금호건설,ORB,FullAuto,2026-07-31 09:46:27,10410,진입,,,"ORB5 고가 10,390 돌파 (범위 8.2%)",9.69,4.88,0.858,141.7,1.61,1,,,,,,
002990#1289-S20260731095410,002990,금호건설,ORB,FullAuto,2026-07-31 09:54:10,10400,진입,,,"ORB5 고가 10,390 돌파 (범위 8.2%)",9.59,4.07,0.852,140.0,0.72,1,,,,,,
066570#1290-S20260731095922,066570,LG전자,ORB,FullAuto,2026-07-31 09:59:22,159000,차단,리스크 관리로 진입 차단: 4연속 손실 쿨다운 ~10:25,,"ORB5 고가 158,900 돌파 (범위 3.1%)",7.00,1.85,0.970,276.9,3.82,1,161100,159900,157600,156200,162400,155200
267260#1291-S20260731105300,267260,HD현대일렉트릭,VWAP눌림,FullAuto,2026-07-31 10:53:00,676000,진입,,,"VWAP 673,884 재돌파, 직전봉 고가 674,000 돌파",15.75,0.31,0.656,292.0,1.76,1,,,,,,
267260#1291-S20260731112900,267260,HD현대일렉트릭,VWAP눌림,FullAuto,2026-07-31 11:29:00,674000,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~11:34,,"VWAP 673,671 재돌파, 직전봉 고가 673,000 돌파",15.41,0.05,0.625,299.9,0.53,1,676000,672000,671000,667000,676000,660000
267260#1291-S20260731113400,267260,HD현대일렉트릭,VWAP눌림,FullAuto,2026-07-31 11:34:00,676000,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~11:34,,"VWAP 673,674 재돌파, 직전봉 고가 675,000 돌파",15.75,0.35,0.656,299.9,0.70,1,670000,673000,667000,666000,676000,660000
036930#1285-S20260731130422,036930,주성엔지니어링,ORB,FullAuto,2026-07-31 13:04:22,121600,진입,,,"ORB5 고가 121,400 돌파 (범위 6.1%)",23.70,0.12,0.611,185.0,10.23,1,,,,,,
267260#1291-S20260731132600,267260,HD현대일렉트릭,VWAP눌림,FullAuto,2026-07-31 13:26:00,672000,진입,,,"VWAP 672,713 재돌파, 직전봉 고가 671,000 돌파",15.07,-0.11,0.594,312.2,0.80,1,,,,,,
267260#1291-S20260731141700,267260,HD현대일렉트릭,VWAP눌림,FullAuto,2026-07-31 14:17:00,679000,진입,,,"VWAP 673,088 재돌파, 직전봉 고가 677,000 돌파",16.27,0.88,0.703,325.3,0.39,1,,,,,,
066570#1290-S20260731142625,066570,LG전자,ORB,FullAuto,2026-07-31 14:26:25,159000,진입,,,"ORB5 고가 158,900 돌파 (범위 3.1%)",7.00,1.22,0.657,275.4,2.15,1,,,,,,
034020#1293-S20260731150000,034020,두산에너빌리티,종가베팅,FullAuto,2026-07-31 15:00:00,67300,진입,,,"종가베팅: 등락 +10.9%, 고저범위 95% 위치, VWAP 65,836 위",10.87,2.22,0.949,1034.7,0.73,1,,,,,,
086520#1292-S20260731150000,086520,에코프로,종가베팅,FullAuto,2026-07-31 15:00:00,79900,진입,,,"종가베팅: 등락 +12.5%, 고저범위 88% 위치, VWAP 78,229 위",12.54,2.14,0.877,1213.5,2.96,1,,,,,,
108860#1297-S20260803094530,108860,셀바스AI,ORB,FullAuto,2026-08-03 09:45:30,9400,진입,,,"ORB5 고가 9,350 돌파 (범위 7.1%)",8.17,4.79,1,328.0,17.05,1,,,,,,
036930#1298-S20260803101400,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 10:14:00,127500,진입,,,"VWAP 126,020 재돌파, 직전봉 고가 126,800 돌파",2.41,1.17,0.632,184.5,0.92,1,,,,,,
108860#1297-S20260803101430,108860,셀바스AI,ORB,FullAuto,2026-08-03 10:14:30,9360,진입,,,"ORB5 고가 9,350 돌파 (범위 7.1%)",7.71,3.68,0.947,194.5,3.62,1,,,,,,
036930#1298-S20260803102200,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 10:22:00,127400,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~10:46,,"VWAP 126,026 재돌파, 직전봉 고가 125,700 돌파",2.33,1.09,0.624,184.7,1.86,1,127600,126800,127300,132500,134400,126000
036930#1298-S20260803103400,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 10:34:00,126500,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~10:46,,"VWAP 126,064 재돌파, 직전봉 고가 126,500 돌파",1.61,0.35,0.547,185.6,1.26,1,126400,126700,128800,131100,134400,126000
036930#1298-S20260803104100,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 10:41:00,127500,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~10:46,,"VWAP 126,089 재돌파, 직전봉 고가 126,900 돌파",2.41,1.12,0.632,189.5,0.74,1,127100,128500,129400,131100,134400,126500
108860#1297-S20260803104730,108860,셀바스AI,ORB,FullAuto,2026-08-03 10:47:30,9370,진입,,,"ORB5 고가 9,350 돌파 (범위 7.1%)",7.83,3.40,0.96,204.1,7.73,1,,,,,,
058610#1302-S20260803123400,058610,에스피지,VWAP눌림,FullAuto,2026-08-03 12:34:00,108700,진입,,,"VWAP 107,396 재돌파, 직전봉 고가 107,900 돌파",16.76,1.21,0.632,175.6,1.35,1,,,,,,
058610#1302-S20260803130800,058610,에스피지,VWAP눌림,FullAuto,2026-08-03 13:08:00,108300,진입,,,"VWAP 107,441 재돌파, 직전봉 고가 107,700 돌파",16.33,0.80,0.608,207.6,0.85,1,,,,,,
058610#1302-S20260803135500,058610,에스피지,VWAP눌림,FullAuto,2026-08-03 13:55:00,107600,진입,,,"VWAP 107,377 재돌파, 직전봉 고가 106,900 돌파",15.57,0.21,0.567,218.9,1.74,1,,,,,,
036930#1298-S20260803140200,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 14:02:00,129200,차단,리스크 관리로 진입 차단: 일 손실 한도 1.5% 도달,,"VWAP 127,572 재돌파, 직전봉 고가 127,600 돌파",3.78,1.28,0.636,246.6,2.55,1,128300,128100,128900,128400,129500,127700
036930#1298-S20260803142700,036930,주성엔지니어링,VWAP눌림,FullAuto,2026-08-03 14:27:00,128500,차단,리스크 관리로 진입 차단: 일 손실 한도 1.5% 도달,,"VWAP 127,600 재돌파, 직전봉 고가 128,200 돌파",3.21,0.71,0.587,250.5,1.71,1,128900,128500,128600,128300,129500,127800
006340#1303-S20260804090522,006340,대원전선,ORB,FullAuto,2026-08-04 09:05:22,14870,진입,,,"ORB5 고가 14,820 돌파 (범위 6.2%)",13.42,2.58,1,216.7,2.81,1,,,,,,
017670#1308-S20260804130900,017670,SK텔레콤,VWAP눌림,FullAuto,2026-08-04 13:09:00,90800,진입,,,"VWAP 90,440 재돌파, 직전봉 고가 90,600 돌파",12.38,0.40,0.701,321.5,1.06,1,,,,,,
017670#1308-S20260804132100,017670,SK텔레콤,VWAP눌림,FullAuto,2026-08-04 13:21:00,90700,진입,,,"VWAP 90,440 재돌파, 직전봉 고가 90,700 돌파",12.25,0.29,0.691,320.5,0.79,1,,,,,,
017670#1308-S20260804132800,017670,SK텔레콤,VWAP눌림,FullAuto,2026-08-04 13:28:00,90600,진입,,,"VWAP 90,441 재돌파, 직전봉 고가 90,500 돌파",12.13,0.18,0.680,321.5,1.28,1,,,,,,
298040#1311-S20260804150000,298040,효성중공업,종가베팅,FullAuto,2026-08-04 15:00:00,2675000,차단,매수 가능 수량 0 (투입금/리스크/예수금 확인),,"종가베팅: 등락 +9.2%, 고저범위 87% 위치, VWAP 2,611,654 위",9.18,2.43,0.868,323.8,0.42,1,2668000,2660000,,,2677000,2652000
267260#1310-S20260804150000,267260,HD현대일렉트릭,종가베팅,FullAuto,2026-08-04 15:00:00,713000,차단,매수 가능 수량 0 (투입금/리스크/예수금 확인),,"종가베팅: 등락 +8.2%, 고저범위 98% 위치, VWAP 693,600 위",8.19,2.80,0.977,687.3,0.57,1,713000,715000,,,716000,710000
006340#1312-S20260805090512,006340,대원전선,ORB,FullAuto,2026-08-05 09:05:12,15390,진입,,,"ORB5 고가 15,380 돌파 (범위 7.3%)",11.60,3.19,1,110.7,1.58,1,,,,,,
304100#1314-S20260805090727,304100,솔트룩스,ORB,FullAuto,2026-08-05 09:07:27,19890,진입,,,"ORB5 고가 19,870 돌파 (범위 5.2%)",17.00,2.45,1,173.1,2.51,1,,,,,,
006340#1312-S20260805091320,006340,대원전선,ORB,FullAuto,2026-08-05 09:13:20,15430,진입,,,"ORB5 고가 15,380 돌파 (범위 7.3%)",11.89,1.86,0.852,128.1,3.20,1,,,,,,
439960#1318-S20260805150000,439960,코스모로보틱스,종가베팅,FullAuto,2026-08-05 15:00:00,18890,진입,,,"종가베팅: 등락 +5.1%, 고저범위 89% 위치, VWAP 18,311 위",5.06,3.16,0.888,206.9,2.46,1,,,,,,
036930#1320-S20260805150000,036930,주성엔지니어링,종가베팅,FullAuto,2026-08-05 15:00:00,143900,진입,,,"종가베팅: 등락 +5.8%, 고저범위 80% 위치, VWAP 140,773 위",5.81,2.22,0.802,514.1,0.44,1,,,,,,
476060#1324-S20260806094727,476060,온코닉테라퓨틱스,ORB,FullAuto,2026-08-06 09:47:27,13900,진입,,,"ORB5 고가 13,860 돌파 (범위 3.3%)",8.09,1.67,1,186.0,14.23,1,,,,,,
476060#1324-S20260806095520,476060,온코닉테라퓨틱스,ORB,FullAuto,2026-08-06 09:55:20,13900,진입,,,"ORB5 고가 13,860 돌파 (범위 3.3%)",8.09,1.50,0.923,206.7,19.59,1,,,,,,
476060#1324-S20260806110030,476060,온코닉테라퓨틱스,ORB,FullAuto,2026-08-06 11:00:30,13880,진입,,,"ORB5 고가 13,860 돌파 (범위 3.3%)",7.93,1.29,0.670,170.9,5.10,1,,,,,,
090360#1325-S20260806113800,090360,로보스타,VWAP눌림,FullAuto,2026-08-06 11:38:00,83100,진입,,,"VWAP 82,799 재돌파, 직전봉 고가 83,000 돌파",11.99,0.36,0.380,201.1,0.82,1,,,,,,
090360#1325-S20260806114700,090360,로보스타,VWAP눌림,FullAuto,2026-08-06 11:47:00,83100,진입,,,"VWAP 82,801 재돌파, 직전봉 고가 83,000 돌파",11.99,0.36,0.380,204.1,1.11,1,,,,,,
090360#1325-S20260806120300,090360,로보스타,VWAP눌림,FullAuto,2026-08-06 12:03:00,82900,진입,,,"VWAP 82,799 재돌파, 직전봉 고가 82,700 돌파",11.73,0.12,0.354,206.2,0.99,1,,,,,,
006360#1326-S20260806123700,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 12:37:00,33150,진입,,,"VWAP 32,753 재돌파, 직전봉 고가 33,050 돌파",6.42,1.21,0.790,324.9,0.53,1,,,,,,
006360#1326-S20260806135700,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 13:57:00,33100,진입,,,"VWAP 32,876 재돌파, 직전봉 고가 33,000 돌파",6.26,0.68,0.75,347.2,0.52,1,,,,,,
006360#1326-S20260806140500,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 14:05:00,33100,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~14:28,,"VWAP 32,878 재돌파, 직전봉 고가 33,050 돌파",6.26,0.68,0.75,348.9,0.87,1,33200,32800,33050,32800,33300,32700
006360#1326-S20260806142200,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 14:22:00,33000,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~14:28,,"VWAP 32,882 재돌파, 직전봉 고가 32,850 돌파",5.94,0.36,0.719,352.4,0.65,1,33050,33050,33000,32550,33150,32500
006360#1326-S20260806142500,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 14:25:00,33050,차단,리스크 관리로 진입 차단: 5연속 손실 쿨다운 ~14:28,,"VWAP 32,883 재돌파, 직전봉 고가 33,050 돌파",6.10,0.51,0.734,355.4,0.55,1,33050,33000,32800,32550,33150,32500
006360#1326-S20260806143300,006360,GS건설,VWAP눌림,FullAuto,2026-08-06 14:33:00,33150,시간외,진입 가능 시간 09:05~14:30 밖,,"VWAP 32,884 재돌파, 직전봉 고가 33,050 돌파",6.42,0.81,0.766,354.1,1.25,1,33000,33000,32850,,33150,32500
